"Title","Artist","Rank","Chart Date","Imprint"
"Check The Rhime","A Tribe Called Quest",1,"1991-11-30","Jive"
"Portrait Of The Artist As A Hood","3rd Bass",25,"1991-11-30","Def Jam"
"Check The Rhime","A Tribe Called Quest",2,"1991-12-07","Jive"
"Portrait Of The Artist As A Hood","3rd Bass",24,"1991-12-07","Def Jam"
"Be True To Yourself","2nd II None",27,"1991-12-07","Profile"
"Check The Rhime","A Tribe Called Quest",3,"1991-12-14","Jive"
"Portrait Of The Artist As A Hood","3rd Bass",23,"1991-12-14","Def Jam"
"Be True To Yourself","2nd II None",24,"1991-12-14","Profile"
"Check The Rhime","A Tribe Called Quest",12,"1991-12-21","Jive"
"Be True To Yourself","2nd II None",20,"1991-12-21","Profile"
"Portrait Of The Artist As A Hood","3rd Bass",21,"1991-12-21","Def Jam"
"Check The Rhime","A Tribe Called Quest",12,"1991-12-28","Jive"
"Be True To Yourself","2nd II None",20,"1991-12-28","Profile"
"Portrait Of The Artist As A Hood","3rd Bass",21,"1991-12-28","Def Jam"
"Be True To Yourself","2nd II None",14,"1992-01-04","Profile"
"Check The Rhime","A Tribe Called Quest",15,"1992-01-04","Jive"
"Portrait Of The Artist As A Hood","3rd Bass",17,"1992-01-04","Def Jam"
"Be True To Yourself","2nd II None",11,"1992-01-11","Profile"
"Portrait Of The Artist As A Hood","3rd Bass",20,"1992-01-11","Def Jam"
"Check The Rhime","A Tribe Called Quest",21,"1992-01-11","Jive"
"Be True To Yourself","2nd II None",9,"1992-01-18","Profile"
"Portrait Of The Artist As A Hood","3rd Bass",26,"1992-01-18","Def Jam"
"Check The Rhime","A Tribe Called Quest",27,"1992-01-18","Jive"
"Be True To Yourself","2nd II None",10,"1992-01-25","Profile"
"Jazz (We've Got)","A Tribe Called Quest",25,"1992-01-25","Jive"
"Be True To Yourself","2nd II None",9,"1992-02-01","Profile"
"Jazz (We've Got)","A Tribe Called Quest",25,"1992-02-01","Jive"
"Be True To Yourself","2nd II None",12,"1992-02-08","Profile"
"Jazz (We've Got)","A Tribe Called Quest",25,"1992-02-08","Jive"
"Be True To Yourself","2nd II None",18,"1992-02-15","Profile"
"Jazz (We've Got)","A Tribe Called Quest",19,"1992-02-15","Jive"
"Jazz (We've Got)","A Tribe Called Quest",21,"1992-02-22","Jive"
"Be True To Yourself","2nd II None",26,"1992-02-22","Profile"
"Jazz (We've Got)","A Tribe Called Quest",23,"1992-02-29","Jive"
"Jiggable Pie","AMG",24,"1992-02-29","Select Street"
"Be True To Yourself","2nd II None",30,"1992-02-29","Profile"
"Jiggable Pie","AMG",23,"1992-03-07","Select Street"
"Jazz (We've Got)","A Tribe Called Quest",27,"1992-03-07","Jive"
"Jiggable Pie","AMG",18,"1992-03-14","Select Street"
"Jazz (We've Got)","A Tribe Called Quest",28,"1992-03-14","Jive"
"Jiggable Pie","AMG",17,"1992-03-21","Select Street"
"Brenda's Got A Baby/If My Homie Calls","2Pac",26,"1992-03-21","Interscope"
"Jiggable Pie","AMG",14,"1992-03-28","Select Street"
"Brenda's Got A Baby/If My Homie Calls","2Pac",21,"1992-03-28","Interscope"
"Jiggable Pie","AMG",14,"1992-04-04","Select Street"
"Brenda's Got A Baby/If My Homie Calls","2Pac",16,"1992-04-04","Interscope"
"Tennessee","Arrested Development",22,"1992-04-04","Chrysalis"
"If You Want It","2nd II None",27,"1992-04-04","Profile"
"Brenda's Got A Baby/If My Homie Calls","2Pac",10,"1992-04-11","Interscope"
"Jiggable Pie","AMG",12,"1992-04-11","Select Street"
"Tennessee","Arrested Development",17,"1992-04-11","Chrysalis"
"If You Want It","2nd II None",27,"1992-04-11","Profile"
