"Title","Artist","Rank","Chart Date","Imprint"
"Gangstas Make The World Go Round","Westside Connection",41,"1997-07-26","Lench Mob"
"On & Poppin'","Young M.C.",46,"1997-07-26","Overall"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",13,"1997-08-02","Ruffhouse"
"On & Poppin'","Young M.C.",30,"1997-08-02","Overall"
"Gangstas Make The World Go Round","Westside Connection",47,"1997-08-02","Lench Mob"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",18,"1997-08-09","Ruffhouse"
"On & Poppin'","Young M.C.",31,"1997-08-09","Overall"
"Gangstas Make The World Go Round","Westside Connection",45,"1997-08-09","Lench Mob"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",21,"1997-08-16","Ruffhouse"
"On & Poppin'","Young M.C.",30,"1997-08-16","Overall"
"Gangstas Make The World Go Round","Westside Connection",48,"1997-08-16","Lench Mob"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",29,"1997-08-23","Ruffhouse"
"On & Poppin'","Young M.C.",32,"1997-08-23","Overall"
"On & Poppin'","Young M.C.",23,"1997-08-30","Overall"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",32,"1997-08-30","Ruffhouse"
"On & Poppin'","Young M.C.",28,"1997-09-06","Overall"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",39,"1997-09-06","Ruffhouse"
"On & Poppin'","Young M.C.",25,"1997-09-13","Overall"
"We Trying To Stay Alive","Wyclef Jean Featuring Refugee Allstars",46,"1997-09-13","Ruffhouse"
"On & Poppin'","Young M.C.",27,"1997-09-20","Overall"
"On & Poppin'","Young M.C.",42,"1997-09-27","Overall"
"On & Poppin'","Young M.C.",34,"1997-10-04","Overall"
"It's Yourz","Wu-Tang Clan",21,"1997-10-11","Loud"
"On & Poppin'","Young M.C.",29,"1997-10-11","Overall"
"It's Yourz","Wu-Tang Clan",27,"1997-10-18","Loud"
"On & Poppin'","Young M.C.",48,"1997-10-18","Overall"
"It's Yourz","Wu-Tang Clan",27,"1997-10-25","Loud"
"On & Poppin'","Young M.C.",47,"1997-10-25","Overall"
"It's Yourz","Wu-Tang Clan",28,"1997-11-01","Loud"
"It's Yourz","Wu-Tang Clan",34,"1997-11-08","Loud"
"It's Yourz","Wu-Tang Clan",33,"1997-11-15","Loud"
"Madame Buttafly","Young M.C.",34,"1997-11-22","Overall"
"It's Yourz","Wu-Tang Clan",35,"1997-11-22","Loud"
"It's Yourz","Wu-Tang Clan",35,"1997-11-29","Loud"
"Madame Buttafly","Young M.C.",44,"1997-11-29","Overall"
"Madame Buttafly","Young M.C.",25,"1997-12-06","Overall"
"It's Yourz","Wu-Tang Clan",40,"1997-12-06","Loud"
"Just Clownin'","WC From Westside Connection",4,"1997-12-13","PayDay"
"It's Yourz","Wu-Tang Clan",36,"1997-12-13","Loud"
"Just Clownin'","WC From Westside Connection",5,"1997-12-20","PayDay"
"It's Yourz","Wu-Tang Clan",38,"1997-12-20","Loud"
"Madame Buttafly","Young M.C.",40,"1997-12-20","Overall"
"Just Clownin'","WC From Westside Connection",4,"1997-12-27","PayDay"
"Madame Buttafly","Young M.C.",34,"1997-12-27","Overall"
"It's Yourz","Wu-Tang Clan",38,"1997-12-27","Loud"
"Just Clownin'","WC From Westside Connection",3,"1998-01-03","PayDay"
"Madame Buttafly","Young M.C.",35,"1998-01-03","Overall"
"It's Yourz","Wu-Tang Clan",43,"1998-01-03","Loud"
"Just Clownin'","WC From Westside Connection",5,"1998-01-10","PayDay"
"Madame Buttafly","Young M.C.",39,"1998-01-10","Overall"
"Just Clownin'","WC From Westside Connection",6,"1998-01-17","PayDay"
"Money Can't Buy You Love","Young Dre Featuring Sandy Wyatt (Of The Coasters)",35,"1998-01-17","KC-3 Monumental Records"
"Madame Buttafly","Young M.C.",47,"1998-01-17","Overall"
"Just Clownin'","WC From Westside Connection",7,"1998-01-24","PayDay"
"Madame Buttafly","Young M.C.",41,"1998-01-24","Overall"
"Money Can't Buy You Love","Young Dre Featuring Sandy Wyatt (Of The Coasters)",48,"1998-01-24","KC-3 Monumental Records"
"Just Clownin'","WC From Westside Connection",11,"1998-01-31","PayDay"
"Gone Till November","Wyclef Jean",26,"1998-01-31","Ruffhouse"
"It's Yourz","Wu-Tang Clan",47,"1998-01-31","Loud"
"Gone Till November","Wyclef Jean",2,"1998-02-07","Ruffhouse"
"Just Clownin'","WC From Westside Connection",10,"1998-02-07","PayDay"
"Money Can't Buy You Love","Young Dre Featuring Sandy Wyatt (Of The Coasters)",49,"1998-02-07","KC-3 Monumental Records"
"Gone Till November","Wyclef Jean",2,"1998-02-14","Ruffhouse"
"Just Clownin'","WC From Westside Connection",11,"1998-02-14","PayDay"
"Gone Till November","Wyclef Jean",4,"1998-02-21","Ruffhouse"
"Just Clownin'","WC From Westside Connection",12,"1998-02-21","PayDay"
"Gettin' Jiggy Wit It","Will Smith",19,"1998-02-21","Columbia"
"Gettin' Jiggy Wit It","Will Smith",1,"1998-02-28","Columbia"
"Gone Till November","Wyclef Jean",3,"1998-02-28","Ruffhouse"
"Just Clownin'","WC From Westside Connection",12,"1998-02-28","PayDay"
"Gettin' Jiggy Wit It","Will Smith",1,"1998-03-07","Columbia"
"Gone Till November","Wyclef Jean",5,"1998-03-07","Ruffhouse"
"Just Clownin'","WC From Westside Connection",16,"1998-03-07","PayDay"
"Gettin' Jiggy Wit It","Will Smith",2,"1998-03-14","Columbia"
"Gone Till November","Wyclef Jean",5,"1998-03-14","Ruffhouse"
"Just Clownin'","WC From Westside Connection",16,"1998-03-14","PayDay"
"Gettin' Jiggy Wit It","Will Smith",2,"1998-03-21","Columbia"
"Gone Till November","Wyclef Jean",4,"1998-03-21","Ruffhouse"
"Just Clownin'","WC From Westside Connection",19,"1998-03-21","PayDay"
"Gone Till November","Wyclef Jean",3,"1998-03-28","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",8,"1998-03-28","Columbia"
"Just Clownin'","WC From Westside Connection",22,"1998-03-28","PayDay"
"Gone Till November","Wyclef Jean",3,"1998-04-04","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",10,"1998-04-04","Columbia"
"Just Clownin'","WC From Westside Connection",25,"1998-04-04","PayDay"
"Gone Till November","Wyclef Jean",4,"1998-04-11","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",14,"1998-04-11","Columbia"
"Just Clownin'","WC From Westside Connection",27,"1998-04-11","PayDay"
"Gone Till November","Wyclef Jean",6,"1998-04-18","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",19,"1998-04-18","Columbia"
"Just Clownin'","WC From Westside Connection",30,"1998-04-18","PayDay"
"Gone Till November","Wyclef Jean",6,"1998-04-25","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",18,"1998-04-25","Columbia"
"Just Clownin'","WC From Westside Connection",28,"1998-04-25","PayDay"
"Gone Till November","Wyclef Jean",6,"1998-05-02","Ruffhouse"
"Gettin' Jiggy Wit It","Will Smith",26,"1998-05-02","Columbia"
"Just Clownin'","WC From Westside Connection",31,"1998-05-02","PayDay"
"Gone Till November","Wyclef Jean",11,"1998-05-09","Ruffhouse"
"Just Clownin'","WC From Westside Connection",25,"1998-05-09","PayDay"
"Gettin' Jiggy Wit It","Will Smith",29,"1998-05-09","Columbia"
"Gone Till November","Wyclef Jean",14,"1998-05-16","Ruffhouse"
"Just Clownin'","WC From Westside Connection",30,"1998-05-16","PayDay"
"Gettin' Jiggy Wit It","Will Smith",31,"1998-05-16","Columbia"
"Gone Till November","Wyclef Jean",12,"1998-05-23","Ruffhouse"
"Just Clownin'","WC From Westside Connection",27,"1998-05-23","PayDay"
"Gettin' Jiggy Wit It","Will Smith",31,"1998-05-23","Columbia"
"Gone Till November","Wyclef Jean",11,"1998-05-30","Ruffhouse"
"Just Clownin'","WC From Westside Connection",31,"1998-05-30","PayDay"
"Gettin' Jiggy Wit It","Will Smith",40,"1998-05-30","Columbia"
"Gone Till November","Wyclef Jean",12,"1998-06-06","Ruffhouse"
"Just Clownin'","WC From Westside Connection",30,"1998-06-06","PayDay"
"Gettin' Jiggy Wit It","Will Smith",39,"1998-06-06","Columbia"
"Gone Till November","Wyclef Jean",14,"1998-06-13","Ruffhouse"
"Just Clownin'","WC From Westside Connection",30,"1998-06-13","PayDay"
"Gettin' Jiggy Wit It","Will Smith",46,"1998-06-13","Columbia"
"Gone Till November","Wyclef Jean",12,"1998-06-20","Ruffhouse"
"Just Clownin'","WC From Westside Connection",33,"1998-06-20","PayDay"
"Gone Till November","Wyclef Jean",15,"1998-06-27","Ruffhouse"
"Just Clownin'","WC From Westside Connection",34,"1998-06-27","PayDay"
"Gone Till November","Wyclef Jean",17,"1998-07-04","Ruffhouse"
"Just Clownin'","WC From Westside Connection",40,"1998-07-04","PayDay"
"Gone Till November","Wyclef Jean",16,"1998-07-11","Ruffhouse"
"Just Clownin'","WC From Westside Connection",41,"1998-07-11","PayDay"
"Gone Till November","Wyclef Jean",21,"1998-07-18","Ruffhouse"
"Just Clownin'","WC From Westside Connection",45,"1998-07-18","PayDay"
"What U See Is What U Get","Xzibit",16,"1998-07-25","Loud"
"Gone Till November","Wyclef Jean",27,"1998-07-25","Ruffhouse"
"Just Clownin'","WC From Westside Connection",39,"1998-07-25","PayDay"
"What U See Is What U Get","Xzibit",5,"1998-08-01","Loud"
"Gone Till November","Wyclef Jean",35,"1998-08-01","Ruffhouse"
"Just Clownin'","WC From Westside Connection",48,"1998-08-01","PayDay"
"What U See Is What U Get","Xzibit",5,"1998-08-08","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",6,"1998-08-08","Ruffhouse"
"Gone Till November","Wyclef Jean",30,"1998-08-08","Ruffhouse"
"Just Clownin'","WC From Westside Connection",42,"1998-08-08","PayDay"
"What U See Is What U Get","Xzibit",6,"1998-08-15","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",8,"1998-08-15","Ruffhouse"
"Gone Till November","Wyclef Jean",33,"1998-08-15","Ruffhouse"
"Just Clownin'","WC From Westside Connection",47,"1998-08-15","PayDay"
"What U See Is What U Get","Xzibit",4,"1998-08-22","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",12,"1998-08-22","Ruffhouse"
"Gone Till November","Wyclef Jean",37,"1998-08-22","Ruffhouse"
"What U See Is What U Get","Xzibit",3,"1998-08-29","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",12,"1998-08-29","Ruffhouse"
"Gone Till November","Wyclef Jean",39,"1998-08-29","Ruffhouse"
"What U See Is What U Get","Xzibit",5,"1998-09-05","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",10,"1998-09-05","Ruffhouse"
"Gone Till November","Wyclef Jean",38,"1998-09-05","Ruffhouse"
"What U See Is What U Get","Xzibit",8,"1998-09-12","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",13,"1998-09-12","Ruffhouse"
"Gone Till November","Wyclef Jean",40,"1998-09-12","Ruffhouse"
"What U See Is What U Get","Xzibit",5,"1998-09-19","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",14,"1998-09-19","Ruffhouse"
"Gone Till November","Wyclef Jean",44,"1998-09-19","Ruffhouse"
"What U See Is What U Get","Xzibit",7,"1998-09-26","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",15,"1998-09-26","Ruffhouse"
"Gone Till November","Wyclef Jean",36,"1998-09-26","Ruffhouse"
"Just Clownin'","WC From Westside Connection",47,"1998-09-26","PayDay"
"What U See Is What U Get","Xzibit",7,"1998-10-03","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",24,"1998-10-03","Ruffhouse"
"Gone Till November","Wyclef Jean",42,"1998-10-03","Ruffhouse"
"Just The Two Of Us","Will Smith",1,"1998-10-10","Columbia"
"What U See Is What U Get","Xzibit",9,"1998-10-10","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",28,"1998-10-10","Ruffhouse"
"Gone Till November","Wyclef Jean",46,"1998-10-10","Ruffhouse"
"Just The Two Of Us","Will Smith",1,"1998-10-17","Columbia"
"What U See Is What U Get","Xzibit",9,"1998-10-17","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",34,"1998-10-17","Ruffhouse"
"Gone Till November","Wyclef Jean",49,"1998-10-17","Ruffhouse"
"Just The Two Of Us","Will Smith",2,"1998-10-24","Columbia"
"What U See Is What U Get","Xzibit",12,"1998-10-24","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",36,"1998-10-24","Ruffhouse"
"Gone Till November","Wyclef Jean",50,"1998-10-24","Ruffhouse"
"Just The Two Of Us","Will Smith",4,"1998-10-31","Columbia"
"What U See Is What U Get","Xzibit",15,"1998-10-31","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",39,"1998-10-31","Ruffhouse"
"Just The Two Of Us","Will Smith",9,"1998-11-07","Columbia"
"What U See Is What U Get","Xzibit",20,"1998-11-07","Loud"
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",44,"1998-11-07","Ruffhouse"
"Just The Two Of Us","Will Smith",11,"1998-11-14","Columbia"
"What U See Is What U Get","Xzibit",21,"1998-11-14","Loud"
"Just The Two Of Us","Will Smith",14,"1998-11-21","Columbia"
"What U See Is What U Get","Xzibit",25,"1998-11-21","Loud"
"Just The Two Of Us","Will Smith",16,"1998-11-28","Columbia"
"What U See Is What U Get","Xzibit",32,"1998-11-28","Loud"
"Just The Two Of Us","Will Smith",19,"1998-12-05","Columbia"
"What U See Is What U Get","Xzibit",40,"1998-12-05","Loud"
"Just The Two Of Us","Will Smith",18,"1998-12-12","Columbia"
"What U See Is What U Get","Xzibit",39,"1998-12-12","Loud"
"Just The Two Of Us","Will Smith",18,"1998-12-19","Columbia"
"What U See Is What U Get","Xzibit",40,"1998-12-19","Loud"
"Just The Two Of Us","Will Smith",15,"1998-12-26","Columbia"
"What U See Is What U Get","Xzibit",45,"1998-12-26","Loud"
"Just The Two Of Us","Will Smith",15,"1999-01-02","Columbia"
"Just The Two Of Us","Will Smith",9,"1999-01-09","Columbia"
"What U See Is What U Get","Xzibit",37,"1999-01-09","Loud"
"Just The Two Of Us","Will Smith",10,"1999-01-16","Columbia"
"What U See Is What U Get","Xzibit",36,"1999-01-16","Loud"
"Just The Two Of Us","Will Smith",18,"1999-01-23","Columbia"
"What U See Is What U Get","Xzibit",45,"1999-01-23","Loud"
"Just The Two Of Us","Will Smith",22,"1999-01-30","Columbia"
"What U See Is What U Get","Xzibit",46,"1999-01-30","Loud"
"Just The Two Of Us","Will Smith",21,"1999-02-06","Columbia"
"What U See Is What U Get","Xzibit",40,"1999-02-06","Loud"
"Just The Two Of Us","Will Smith",28,"1999-02-13","Columbia"
"What U See Is What U Get","Xzibit",44,"1999-02-13","Loud"
"Just The Two Of Us","Will Smith",30,"1999-02-20","Columbia"
"What U See Is What U Get","Xzibit",49,"1999-02-20","Loud"
"Just The Two Of Us","Will Smith",29,"1999-02-27","Columbia"
"What U See Is What U Get","Xzibit",38,"1999-02-27","Loud"
"Just The Two Of Us","Will Smith",27,"1999-03-06","Columbia"
"What U See Is What U Get","Xzibit",45,"1999-03-06","Loud"
"Just The Two Of Us","Will Smith",39,"1999-03-13","Columbia"
"N**** What!!","Whip",28,"1999-03-20","Outhouse Entertainment"
"Just The Two Of Us","Will Smith",47,"1999-03-20","Columbia"
"N**** What!!","Whip",26,"1999-03-27","Outhouse Entertainment"
"N**** What!!","Whip",29,"1999-04-03","Outhouse Entertainment"
"N**** What!!","Whip",35,"1999-04-10","Outhouse Entertainment"
"N**** What!!","Whip",38,"1999-04-17","Outhouse Entertainment"
"N**** What!!","Whip",35,"1999-04-24","Outhouse Entertainment"
"N**** What!!","Whip",42,"1999-05-01","Outhouse Entertainment"
"N**** What!!","Whip",45,"1999-05-15","Outhouse Entertainment"
"N**** What!!","Whip",49,"1999-06-05","Outhouse Entertainment"
"Restless","White Dawg",42,"1999-06-26","Paper Chasers"
"Restless","White Dawg",18,"1999-07-03","Paper Chasers"
"Restless","White Dawg",25,"1999-07-10","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",13,"1999-07-17","Columbia"
"Restless","White Dawg",27,"1999-07-17","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",1,"1999-07-24","Columbia"
"Restless","White Dawg",32,"1999-07-24","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",1,"1999-07-31","Columbia"
"Restless","White Dawg",34,"1999-07-31","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",1,"1999-08-07","Columbia"
"U-Way (How We Do It)","YoungBloodZ",15,"1999-08-07","LaFace"
"Restless","White Dawg",32,"1999-08-07","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",2,"1999-08-14","Columbia"
"U-Way (How We Do It)","YoungBloodZ",10,"1999-08-14","LaFace"
"Restless","White Dawg",34,"1999-08-14","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",2,"1999-08-21","Columbia"
"U-Way (How We Do It)","YoungBloodZ",8,"1999-08-21","LaFace"
"Restless","White Dawg",36,"1999-08-21","Paper Chasers"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",3,"1999-08-28","Columbia"
"U-Way (How We Do It)","YoungBloodZ",5,"1999-08-28","LaFace"
"U-Way (How We Do It)","YoungBloodZ",3,"1999-09-04","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",8,"1999-09-04","Columbia"
"N**** What!!","Whip",40,"1999-09-04","Outhouse Entertainment"
"Restless","White Dawg",43,"1999-09-04","Paper Chasers"
"U-Way (How We Do It)","YoungBloodZ",3,"1999-09-11","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",8,"1999-09-11","Columbia"
"N**** What!!","Whip",49,"1999-09-11","Outhouse Entertainment"
"U-Way (How We Do It)","YoungBloodZ",5,"1999-09-18","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",12,"1999-09-18","Columbia"
"U-Way (How We Do It)","YoungBloodZ",5,"1999-09-25","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",15,"1999-09-25","Columbia"
"U-Way (How We Do It)","YoungBloodZ",4,"1999-10-02","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",20,"1999-10-02","Columbia"
"U-Way (How We Do It)","YoungBloodZ",4,"1999-10-09","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",20,"1999-10-09","Columbia"
"U-Way (How We Do It)","YoungBloodZ",4,"1999-10-16","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",28,"1999-10-16","Columbia"
"U-Way (How We Do It)","YoungBloodZ",5,"1999-10-23","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",26,"1999-10-23","Columbia"
"U-Way (How We Do It)","YoungBloodZ",8,"1999-10-30","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",36,"1999-10-30","Columbia"
"U-Way (How We Do It)","YoungBloodZ",6,"1999-11-06","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",37,"1999-11-06","Columbia"
"U-Way (How We Do It)","YoungBloodZ",8,"1999-11-13","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",42,"1999-11-13","Columbia"
"U-Way (How We Do It)","YoungBloodZ",8,"1999-11-20","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",41,"1999-11-20","Columbia"
"U-Way (How We Do It)","YoungBloodZ",10,"1999-11-27","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",49,"1999-11-27","Columbia"
"U-Way (How We Do It)","YoungBloodZ",14,"1999-12-04","LaFace"
"Will 2K","Will Smith Featuring K-Ci",35,"1999-12-04","Columbia"
"U-Way (How We Do It)","YoungBloodZ",13,"1999-12-11","LaFace"
"Will 2K","Will Smith Featuring K-Ci",40,"1999-12-11","Columbia"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",42,"1999-12-11","Columbia"
"U-Way (How We Do It)","YoungBloodZ",13,"1999-12-18","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",45,"1999-12-18","Columbia"
"Will 2K","Will Smith Featuring K-Ci",49,"1999-12-18","Columbia"
"U-Way (How We Do It)","YoungBloodZ",16,"1999-12-25","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",40,"1999-12-25","Columbia"
"U-Way (How We Do It)","YoungBloodZ",14,"2000-01-01","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",38,"2000-01-01","Columbia"
"U-Way (How We Do It)","YoungBloodZ",14,"2000-01-08","LaFace"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",37,"2000-01-08","Columbia"
"U-Way (How We Do It)","YoungBloodZ",15,"2000-01-15","LaFace"
"U-Way (How We Do It)","YoungBloodZ",16,"2000-01-22","LaFace"
"U-Way (How We Do It)","YoungBloodZ",25,"2000-01-29","LaFace"
"U-Way (How We Do It)","YoungBloodZ",18,"2000-02-05","LaFace"
"Freakin' It","Will Smith",20,"2000-02-12","Columbia"
"U-Way (How We Do It)","YoungBloodZ",28,"2000-02-12","LaFace"
"Freakin' It","Will Smith",22,"2000-02-19","Columbia"
"U-Way (How We Do It)","YoungBloodZ",27,"2000-02-19","LaFace"
"Whistle While You Twurk","Ying Yang Twins",10,"2000-02-26","ColliPark"
"Freakin' It","Will Smith",25,"2000-02-26","Columbia"
"U-Way (How We Do It)","YoungBloodZ",33,"2000-02-26","LaFace"
"Whistle While You Twurk","Ying Yang Twins",10,"2000-03-04","ColliPark"
"Freakin' It","Will Smith",23,"2000-03-04","Columbia"
"U-Way (How We Do It)","YoungBloodZ",27,"2000-03-04","LaFace"
"Whistle While You Twurk","Ying Yang Twins",3,"2000-03-11","ColliPark"
"Freakin' It","Will Smith",22,"2000-03-11","Columbia"
"U-Way (How We Do It)","YoungBloodZ",30,"2000-03-11","LaFace"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-03-18","ColliPark"
"Freakin' It","Will Smith",22,"2000-03-18","Columbia"
"U-Way (How We Do It)","YoungBloodZ",33,"2000-03-18","LaFace"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-03-25","ColliPark"
"Freakin' It","Will Smith",30,"2000-03-25","Columbia"
"U-Way (How We Do It)","YoungBloodZ",32,"2000-03-25","LaFace"
"Whistle While You Twurk","Ying Yang Twins",1,"2000-04-01","ColliPark"
"Freakin' It","Will Smith",29,"2000-04-01","Columbia"
"U-Way (How We Do It)","YoungBloodZ",35,"2000-04-01","LaFace"
"Whistle While You Twurk","Ying Yang Twins",1,"2000-04-08","ColliPark"
"Year 2000","Xzibit",28,"2000-04-08","Loud"
"Freakin' It","Will Smith",30,"2000-04-08","Columbia"
"U-Way (How We Do It)","YoungBloodZ",46,"2000-04-08","LaFace"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-04-15","ColliPark"
"Freakin' It","Will Smith",33,"2000-04-15","Columbia"
"U-Way (How We Do It)","YoungBloodZ",37,"2000-04-15","LaFace"
"Year 2000","Xzibit",45,"2000-04-15","Loud"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-04-22","ColliPark"
"U-Way (How We Do It)","YoungBloodZ",31,"2000-04-22","LaFace"
"Year 2000","Xzibit",41,"2000-04-22","Loud"
"Freakin' It","Will Smith",46,"2000-04-22","Columbia"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-04-29","ColliPark"
"U-Way (How We Do It)","YoungBloodZ",28,"2000-04-29","LaFace"
"Freakin' It","Will Smith",31,"2000-04-29","Columbia"
"Year 2000","Xzibit",48,"2000-04-29","Loud"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-05-06","ColliPark"
"U-Way (How We Do It)","YoungBloodZ",34,"2000-05-06","LaFace"
"Year 2000","Xzibit",39,"2000-05-06","Loud"
"Freakin' It","Will Smith",41,"2000-05-06","Columbia"
"Whistle While You Twurk","Ying Yang Twins",2,"2000-05-13","ColliPark"
"Freakin' It","Will Smith",36,"2000-05-13","Columbia"
"Year 2000","Xzibit",37,"2000-05-13","Loud"
"U-Way (How We Do It)","YoungBloodZ",44,"2000-05-13","LaFace"
"Whistle While You Twurk","Ying Yang Twins",3,"2000-05-20","ColliPark"
"Freakin' It","Will Smith",43,"2000-05-20","Columbia"
"Whistle While You Twurk","Ying Yang Twins",3,"2000-05-27","ColliPark"
"U-Way (How We Do It)","YoungBloodZ",45,"2000-05-27","LaFace"
"Whistle While You Twurk","Ying Yang Twins",3,"2000-06-03","ColliPark"
"Thug Angels","Wyclef Jean",49,"2000-06-03","Columbia"
"Whistle While You Twurk","Ying Yang Twins",3,"2000-06-10","ColliPark"
"Year 2000","Xzibit",49,"2000-06-10","Loud"
"Whistle While You Twurk","Ying Yang Twins",4,"2000-06-17","ColliPark"
"Whistle While You Twurk","Ying Yang Twins",6,"2000-06-24","ColliPark"
"Whistle While You Twurk","Ying Yang Twins",8,"2000-07-01","ColliPark"
"Whistle While You Twurk","Ying Yang Twins",7,"2000-07-08","ColliPark"
"Whistle While You Twurk","Ying Yang Twins",11,"2000-07-15","ColliPark"
"WHOA! Lil' Mama...","X-Con",6,"2000-07-22","First String"
"Whistle While You Twurk","Ying Yang Twins",12,"2000-07-22","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",38,"2000-07-22","Columbia"
"WHOA! Lil' Mama...","X-Con",8,"2000-07-29","First String"
"Whistle While You Twurk","Ying Yang Twins",15,"2000-07-29","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",32,"2000-07-29","Columbia"
"WHOA! Lil' Mama...","X-Con",7,"2000-08-05","First String"
"Whistle While You Twurk","Ying Yang Twins",24,"2000-08-05","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",25,"2000-08-05","Columbia"
"WHOA! Lil' Mama...","X-Con",8,"2000-08-12","First String"
"Whistle While You Twurk","Ying Yang Twins",21,"2000-08-12","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",34,"2000-08-12","Columbia"
"WHOA! Lil' Mama...","X-Con",12,"2000-08-19","First String"
"Whistle While You Twurk","Ying Yang Twins",27,"2000-08-19","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",41,"2000-08-19","Columbia"
"WHOA! Lil' Mama...","X-Con",12,"2000-08-26","First String"
"Whistle While You Twurk","Ying Yang Twins",25,"2000-08-26","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",39,"2000-08-26","Columbia"
"WHOA! Lil' Mama...","X-Con",13,"2000-09-02","First String"
"Whistle While You Twurk","Ying Yang Twins",32,"2000-09-02","ColliPark"
"It Doesn't Matter","Wyclef Jean Featuring The Rock & Melky Sedeck",40,"2000-09-02","Columbia"
"WHOA! Lil' Mama...","X-Con",11,"2000-09-09","First String"
